Name,Sex,Age,Height,Weight,Team,Games,Year,Season,City,Event,Medal
"David Benjamin ""Dave"" Irwin",M,21,172,68.32,CAN,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Downhill,
David Henry Currier,M,19,178,70.24,USA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Downhill,
David Lajoux,M,17,177,63.48,MON,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Slalom,
David Mercer,M,23,175,73.13,GBR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
David Poisson,M,31,172,88.19,FRA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Super G,
David Zwilling,M,22,174,68.78,AUT,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Deborah Compagnoni,F,23,165,62.9,ITA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Super G,
"Debra Rae ""Debbie"" Armstrong",F,24,165,63.17,USA,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Giant Slalom,
Denis Lucien mile Feron,M,27,185,78.09,BEL,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing Men's Giant Slalom,
Denise Karbon,F,29,160,59.52,ITA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
Derek Robbins,M,20,176,70.78,CAN,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Downhill,
Deyvid Oprja,M,27,174,78.03,EST,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Diana Catherine Haight (-Arn),F,19,171,61.67,CAN,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Giant Slalom,
Diana Helena Tomkinson (-Lewthwaite),F,24,175,67.4,GBR,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Slalom,
Diane Pratte (-Acton),F,18,157,51.72,CAN,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Giant Slalom,
Didier Bouvet,M,26,177,73.41,FRA,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Slalom,
Didier Cuche,M,27,174,90.77,SUI,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Didier Dfago,M,24,184,89.9,SUI,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Giant Slalom,
Divina Mary Galica,F,19,172,60.97,GBR,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Downhill,
Dmitry Sergeyevich Ulyanov,M,23,186,86.53,RUS,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Dominic Demschar,M,20,176,76.51,AUS,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Dominique Gisin,F,28,172,69.65,SUI,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Super G,
Dorin Munteanu,M,21,167,63.74,ROU,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
Dow Travers,M,26,180,86.89,CAY,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Drago Staicu,M,24,191,94.3,ROU,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Downhill,
Dumeng Giovanoli,M,23,174,73.36,SUI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Downhill,
Duncan Grob Urza,M,21,176,75.95,CHI,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Super G,
Eberardo Schmalzl,M,21,178,71.42,ITA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Eberhard Riedel,M,25,172,69.65,GER,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Edda Mutter,F,23,155,56.16,GER,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Slalom,
"Edmund ""Edy"" Bruggmann",M,24,178,76.18,SUI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Eduardo Antonio Kopper Orlich,M,18,170,70.84,CRC,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
"Edward Charles ""Ed"" Podivinsky",M,27,184,96.48,CAN,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Downhill,
Elena Fanchini,F,24,164,70.26,ITA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Super G,
"Elisabeth ""Lisi"" Kirchler (-Riml)",F,20,168,66.41,AUT,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Giant Slalom,
"Elisabeth Anne ""Betsy"" Clifford (-Higgins)",F,22,162,57.97,CAN,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Women's Giant Slalom,
Elisabeth Grgl,F,32,167,67.27,AUT,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Downhill,
Emelie Sara Marianne Wikstrm,F,21,174,66.75,SWE,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Slalom,
Emi Kawabata,F,23,165,58.65,JPN,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Downhill,
Emiko Okazaki,F,22,160,58.15,JPN,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Slalom,
Emily Brydon,F,29,181,90.33,CAN,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Downhill,
Emma Claire Carrick-Anderson,F,16,162,62.35,GBR,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Combined,
Engelhard Pargtzi,M,16,175,69.69,SUI,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Enis Beirbegovi,M,21,181,91.33,BIH,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Super G,
Erik Guay,M,24,178,85.47,CAN,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Super G,
Erik Gudmund Eriksson Sderin,M,23,175,69.83,SWE,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Erik Hker,M,19,180,78.3,NOR,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Downhill,
"Erik Olof Anders ""Olle"" Roln",M,23,171,79.51,SWE,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Slalom,
Erik Seletto,M,22,181,83.27,ITA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Combined,
Erika Hess (-Reymond),F,17,163,53.43,SUI,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Slalom,Bronze
Erjon Tola,M,19,180,74.62,ALB,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Eu Woo-Youn,M,17,170,71.23,KOR,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
Eugenio Claro,M,30,175,71.08,CHI,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Super G,
Eva Catharina Glassr-Bjerner,F,23,166,60.81,SWE,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Slalom,
Eva Kurfrstov,F,28,163,59.81,CZE,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Slalom,
Evi Mittermaier (-Brundobler),F,22,163,61.82,FRG,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Women's Giant Slalom,
Ewa Grabowska (-Gaczorek),F,21,165,57.49,POL,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Slalom,
Ewa Zagata (-uc),F,21,160,56.47,POL,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Giant Slalom,
Fabienne Suter,F,25,167,64.17,SUI,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Super G,
Federica Selva,F,17,166,53.72,SMR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Federico van Ditmar,M,22,182,73.1,ARG,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Slalom,
Felice De Nicolo,M,21,165,62.81,ITA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Felix Belczyk,M,26,179,85,CAN,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Super G,
Felix Neureuther,M,21,184,87.78,GER,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Giant Slalom,
Fernande Bochatay (-Frank),F,18,163,58.49,SUI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Giant Slalom,
Fernando R. Enevoldsen,M,18,184,83.47,ARG,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Ferrn Terra Navarro,M,22,178,86.08,ESP,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Filip Trejbal,M,21,194,98.17,CZE,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Finlay Mickel,M,28,189,92.04,GBR,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Super G,
Finn Christian Jagge,M,21,178,90.43,NOR,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Slalom,
Finn Manni Kieding Thofte,M,18,186,70.52,SWE,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Giant Slalom,
Florence Elizabeth Bell,F,17,156,59.68,IRL,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Slalom,
Florence Masnada (-Aubonnet),F,29,176,69.21,FRA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Super G,
Florence Steurer (-Penz),F,22,168,60.55,FRA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Slalom,Bronze
Florentin Daniel Nicolae,M,24,167,80.15,ROU,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Combined,
Florian Beck,M,30,175,74.22,FRG,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Slalom,
Francesca Marsaglia,F,24,167,61.42,ITA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Giant Slalom,
Francisco Cortes,M,19,170,64.48,CHI,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing Men's Slalom,
Francisco Fernndez Ochoa,M,17,171,66.03,ESP,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
Franck Piccard,M,23,182,70.36,FRA,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Downhill,Bronze
Franco Cavegn,M,23,177,90.88,SUI,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Downhill,
Frank-Christian Wrndl,M,20,176,77.74,FRG,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Slalom,
Franois Bonlieu,M,22,167,61.14,FRA,1960 Winter,1960,Winter,Squaw Valley,Alpine Skiing Men's Slalom,
Franois Bourque,M,21,182,89.47,CAN,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Super G,
Franois Simond,M,28,183,88.48,FRA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Slalom,
Franoise Gay,F,19,160,62.55,SUI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Slalom,
Franz Heinzer,M,29,181,81.04,SUI,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Super G,
Frdric Marin-Cudraz,M,24,179,78.87,FRA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Super G,
"Frederick Stoddard ""Rick"" Chaffee, II",M,23,178,73.84,USA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Slalom,
Frida Marie Hansdotter,F,24,173,67.44,SWE,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
Fritz Strobl,M,29,187,95.78,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Downhill,Gold
Fulvia Stevenin,F,18,171,65.7,ITA,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Giant Slalom,
Gaia Bassani Antivari,F,31,167,60.44,AZE,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Giant Slalom,
"Gale H. ""Tiger"" Shaw, III",M,26,180,79.74,USA,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Giant Slalom,
Galina Shikhova,F,31,159,61.11,URS,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Giant Slalom,
Gang Min-Hyeok,M,24,175,76.54,KOR,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Gang Yeong-Seo,F,16,168,61.09,KOR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Slalom,
Georg Streitberger,M,28,185,95.23,AUT,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Super G,
George Salameh,M,30,185,86.83,LIB,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Georges Mauduit,M,27,175,69,FRA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
"Georgina Melissa ""Gina"" Hathorn (-Sopwith)",F,21,169,65.89,GBR,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Downhill,
Gerard Escoda Alegret,M,21,173,71.48,AND,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,
Gerhard Knigsrainer,M,25,178,70.95,ITA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Giant Slalom,
Gerhard Pfaffenbichler,M,26,190,89.04,AUT,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Downhill,
Gerry Rinaldi,M,22,170,72.39,CAN,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
Gertrud Gabl,F,19,172,65.34,AUT,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Slalom,
Ghassan Achi,M,16,168,60.85,LIB,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Ghassan Joseph Keyrouz,M,16,174,72.94,LIB,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Giannis Stamatiou,M,25,172,79.03,GRE,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Slalom,
Gina Stechert,F,22,172,76.85,GER,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Combined,
Gino Caviezel,M,21,173,78.48,SUI,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Giuliano Razzoli,M,29,182,89.13,ITA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Slalom,
Giustina Demetz,F,26,163,55.68,ITA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Giant Slalom,
Gjorgji Markovski,M,20,180,81.25,MKD,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Giant Slalom,
Gnther Mader,M,23,177,78.73,AUT,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Slalom,
Gnther Marxer,M,27,175,70.2,LIE,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Giant Slalom,
Gorban Ali Kalhor,M,19,167,73.01,IRI,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Downhill,
Grega Benedik,M,21,183,82.98,YUG,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Gregor parovec,M,24,179,90.65,SLO,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Downhill,
"Gregory ""Greg"" Grossmann",M,21,178,76.63,CAN,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Giant Slalom,
Greta Small,F,18,181,70.62,AUS,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Downhill,
Gretchen Claudia Fraser (Kunigk-),F,28,163,53.98,USA,1948 Winter,1948,Winter,Sankt Moritz,Alpine Skiing Women's Combined,Silver
Gston Begue,M,19,165,60.88,ARG,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Super G,
Guillermo Fayed,M,28,183,94.57,FRA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Downhill,
Gustavo Thoeni,M,20,173,66.99,ITA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Downhill,
Guy Prillat Merceroz,M,27,168,68.44,FRA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,Silver
Gyeong Seong-Hyeon,M,23,176,83.31,KOR,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
"Hadwig ""Hadi"" Pfeifer (Lantschner-)",F,29,155,53.02,GER,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Alpine Skiing Women's Combined,
Hamit are,M,23,178,71.21,TUR,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Giant Slalom,
"Hannelore ""Hanni"" Wenzel (-Weirather)",F,23,165,57.73,LIE,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Women's Giant Slalom,Gold
Hannes Paul Schmid,M,25,184,77.95,ITA,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Hannes Trinkl,M,30,183,90.82,AUT,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Downhill,Bronze
Hans Enn,M,21,167,65.33,AUT,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Giant Slalom,Bronze
Hans Knau,M,26,179,87.06,AUT,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Super G,Silver
Hans Petter Buraas,M,30,190,91.44,NOR,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Hans Thomas Fogd,M,21,188,91.53,SWE,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Slalom,
Hansjrg Tauscher,M,20,178,83.07,FRG,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Downhill,
Harue Okitsu,F,22,156,50.57,JPN,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Giant Slalom,
Haukur Arnrsson,M,26,175,71.1,ISL,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Slalom,
Heidi Voelker,F,18,162,58.44,USA,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Slalom,
Heidi Zeller-Bhler,F,24,158,66.14,SUI,1992 Winter,1992,Winter,Albertville,Alpine Skiing Women's Downhill,
Heidi Zurbriggen (-Andenmatten),F,30,167,65.31,SUI,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Super G,
"Heinrich ""Heini"" Messner",M,32,176,76.01,AUT,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Downhill,Bronze
Helen Jamieson,F,21,170,55.82,GBR,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Giant Slalom,
Helmut Hflehner,M,24,180,78.9,AUT,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
Henri Duvillard,M,24,169,66.85,FRA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Giant Slalom,
Henri Julien Mollin,M,25,181,75.78,BEL,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
Henrik von Appen Piedrabuena,M,19,185,96.99,CHI,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Downhill,
"Henry Charles ""Hank"" Kashiwa",M,22,170,67.38,USA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Downhill,
Herbert Marxer,M,19,175,70,LIE,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Downhill,
Herbert Renoth,M,22,183,80.73,FRG,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Downhill,
Hermann Maier,M,25,180,91.34,AUT,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Combined,
Hernn Jorge Boher Rosales,M,23,171,65.32,CHI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Hilary Kirsten Lindh,F,24,175,72.36,USA,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Downhill,
Hisashi Mizugami,M,26,163,60.74,JPN,1952 Winter,1952,Winter,Oslo,Alpine Skiing Men's Slalom,
Hossein Saveh Shemshaki,M,24,180,76.06,IRI,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
"Howard ""Chip"" Knight",M,31,183,98.65,USA,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Hubert Hilti,M,20,184,67.91,LIE,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
Hubert Strolz,M,29,182,76.55,AUT,1992 Winter,1992,Winter,Albertville,Alpine Skiing Men's Slalom,
Hubertus Rudolph von Frstenberg-von Hohenlohe-Langenburg,M,51,183,78.28,MEX,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Hur Seung-Wook,M,25,173,89.38,KOR,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Slalom,
Iain Finlayson,M,20,170,69.93,GBR,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Iason Abramashvili,M,21,176,82.95,GEO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Igor Laikert,M,22,186,87.37,BIH,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Combined,
Ilka tuhec,F,23,172,73.35,SLO,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Super G,
Ingeborg Helen Marken,F,27,168,71.29,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Super G,
Ingrid Jacquemod,F,27,176,71.26,FRA,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Giant Slalom,
Ingrid Maria Sundberg (-Nilsson),F,19,161,45.84,SWE,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Giant Slalom,
Irene Epple (-Waigel),F,18,165,61.18,FRG,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Women's Giant Slalom,
Irene Viaene,F,18,156,48.99,ARG,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Women's Slalom,
Isabelle Catherine Mir,F,22,161,61.05,FRA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Women's Giant Slalom,
Isolde Kostner (-Perathoner),F,26,171,67.8,ITA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Downhill,Silver
Italo Pedroncelli,M,28,170,67.22,ITA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Ivan Heimschild,M,25,180,89.82,SVK,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Super G,
Ivan Penev,M,26,173,70.94,BUL,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
Ivan Ratki,M,19,180,84.36,CRO,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Giant Slalom,
Ivana Valeov,F,20,162,60.29,TCH,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Women's Downhill,
Ivar Sigmundsson,M,25,171,72.27,ISL,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Ivica Kosteli,M,34,182,89.05,CRO,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Giant Slalom,
Ivo Oswald Mahlknecht,M,28,182,87.36,ITA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Giant Slalom,
Jaba Gelashvili,M,16,175,70.88,GEO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Jack Edward Nagel,M,26,175,81,USA,1952 Winter,1952,Winter,Oslo,Alpine Skiing Men's Slalom,
Jack Nichols Reddish,M,25,174,65.59,USA,1952 Winter,1952,Winter,Oslo,Alpine Skiing Men's Giant Slalom,
Jacky Chamoun,F,18,172,57.3,LIB,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
Jacqueline Vogt,F,18,165,60.75,LIE,1988 Winter,1988,Winter,Calgary,Alpine Skiing Women's Combined,
Jacques Lthy,M,20,176,74.03,SUI,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Giant Slalom,
Jake Zamansky,M,28,178,85.09,USA,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Giant Slalom,
Jakobna Jakobsdttir,F,23,164,61.52,ISL,1956 Winter,1956,Winter,Cortina d'Ampezzo,Alpine Skiing Women's Downhill,
"James ""Jim"" Read",M,21,172,76.17,CAN,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing Men's Giant Slalom,
James Couttet,M,30,168,67.25,FRA,1952 Winter,1952,Winter,Oslo,Alpine Skiing Men's Downhill,
"James Frederic ""Jimmy"" Heuga",M,20,168,72.76,USA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Giant Slalom,
James Leuzinger,M,23,191,93.96,GBR,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
Jan Einar Thorsen,M,27,181,83.04,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Super G,
Jan Holick,M,28,183,87.32,CZE,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Men's Combined,
Jan Hudec,M,28,183,91.07,CAN,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Super G,
Jan Ingemar Stenmark,M,19,181,75.19,SWE,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing Men's Slalom,
Jan Torsten Jakobsson,M,22,180,72.67,SWE,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing Men's Slalom,
Jana Gantnerov,F,20,165,66.37,SVK,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Women's Slalom,
Janette Helene Hargin,F,28,168,66.06,SWE,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Super G,
Janica Kosteli,F,16,175,76.82,CRO,1998 Winter,1998,Winter,Nagano,Alpine Skiing Women's Combined,
Janne Leskinen,M,22,184,82.89,FIN,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Men's Downhill,
"Jannette Weston Burr (-Bray, -Johnson)",F,24,172,61.69,USA,1952 Winter,1952,Winter,Oslo,Alpine Skiing Women's Giant Slalom,
Jared Goldberg,M,22,183,85.31,USA,2014 Winter,2014,Winter,Sochi,Alpine Skiing Men's Combined,
Jaroslav Babuiak,M,25,178,84.87,SVK,2010 Winter,2010,Winter,Vancouver,Alpine Skiing Men's Slalom,
Jaroslav Janda,M,25,169,69.05,TCH,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
Jasmine Jade Ariel Lyons Campbell,F,22,170,64.98,ISV,2014 Winter,2014,Winter,Sochi,Alpine Skiing Women's Slalom,
Javier Masana Beignes,M,22,160,65.92,ESP,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Downhill,
Jean Marlene Saubert,F,21,167,69.49,USA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Women's Slalom,Bronze
Jean-Claude Killy,M,20,178,76.61,FRA,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing Men's Downhill,
Jean-Daniel Dtwyler,M,22,178,83.31,SUI,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,Bronze
Jeanette Lunde (-Lunder),F,21,170,68.2,NOR,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing Women's Super G,
Jean-Luc Crtier,M,31,185,94.63,FRA,1998 Winter,1998,Winter,Nagano,Alpine Skiing Men's Downhill,Gold
Jean-Nol Augert,M,22,180,73.09,FRA,1972 Winter,1972,Winter,Sapporo,Alpine Skiing Men's Slalom,
Jean-Philippe Roy,M,26,178,81.82,CAN,2006 Winter,2006,Winter,Torino,Alpine Skiing Men's Slalom,
"Jeffrey Allen ""Jeff"" Olson",M,22,183,90.35,USA,1988 Winter,1988,Winter,Calgary,Alpine Skiing Men's Downhill,
Jelena Lolovi,F,24,167,59.76,SCG,2006 Winter,2006,Winter,Torino,Alpine Skiing Women's Super G,
Jenny Owens,F,23,168,65.25,AUS,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing Women's Combined,
Jere Lee Elliott,M,21,173,70.54,USA,1968 Winter,1968,Winter,Grenoble,Alpine Skiing Men's Downhill,
